City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,66.6,88,75,21.99,PT,1685710753
1,keren,15.7778,38.4581,86.68,31,82,9.26,ER,1685710754
2,adamstown,-25.066,-130.1015,75.09,87,97,22.77,PN,1685710754
3,bethel,41.3712,-73.414,79.45,68,0,0.0,US,1685710754
4,motygino,58.1831,94.7592,70.61,58,88,4.7,RU,1685710754
5,port-aux-francais,-49.35,70.2167,42.1,85,47,41.29,TF,1685710755
6,petropavlovsk-kamchatsky,53.0452,158.6483,37.99,100,100,4.47,RU,1685710755
7,puerto natales,-51.7236,-72.4875,37.85,87,100,4.61,CL,1685710514
8,nanao,37.05,136.9667,68.2,98,88,7.05,JP,1685710755
9,kodiak,57.79,-152.4072,45.91,81,100,3.44,US,1685710755
10,shenjiamen,29.9576,122.298,69.04,87,30,2.19,CN,1685710756
11,remire-montjoly,4.9167,-52.2667,84.24,74,75,4.61,GF,1685710756
12,port mathurin,-19.6833,63.4167,76.15,62,0,22.55,MU,1685710756
13,grytviken,-54.2811,-36.5092,40.66,87,100,3.47,GS,1685710756
14,saint-pierre,-21.3393,55.4781,76.68,69,75,24.16,RE,1685710757
15,nantucket,41.2835,-70.0995,72.14,100,20,0.0,US,1685710757
16,kapa'a,22.0752,-159.319,75.52,90,100,9.22,US,1685710757
17,ushuaia,-54.8,-68.3,44.26,81,100,12.66,AR,1685710647
18,pelabuhanratu,-6.9875,106.5514,80.13,88,74,6.44,ID,1685710758
19,vorgashor,67.5833,63.95,58.96,54,68,17.16,RU,1685710758
20,georgetown,5.4112,100.3354,87.73,78,40,3.44,MY,1685710707
21,invercargill,-46.4,168.35,46.36,78,100,17.49,NZ,1685710760
22,blackmans bay,-43.0167,147.3167,46.53,87,100,4.14,AU,1685710761
23,freetown,8.484,-13.2299,82.11,78,75,4.61,SL,1685710761
24,iqaluit,63.7506,-68.5145,29.93,80,75,16.11,CA,1685710761
25,daru,-9.0763,143.2092,77.79,89,100,17.0,PG,1685710761
26,necochea,-38.5473,-58.7368,59.95,82,99,15.05,AR,1685710761
27,waitangi,-43.9535,-176.5597,50.83,87,100,1.99,NZ,1685710762
28,plastun,44.7561,136.2939,49.77,86,100,3.53,RU,1685710762
29,tiksi,71.6872,128.8694,43.47,77,23,6.04,RU,1685710762
30,wailua homesteads,22.0669,-159.378,74.19,91,100,9.22,US,1685710763
31,fort st. john,56.2499,-120.8529,44.49,57,20,4.61,CA,1685710763
32,acapulco de juarez,16.8634,-99.8901,81.16,73,0,3.8,MX,1685710506
33,bredasdorp,-34.5322,20.0403,68.23,63,100,4.63,ZA,1685710763
34,port nelson,23.6333,-74.8333,77.86,80,100,6.53,BS,1685710764
35,rauma,61.1272,21.5113,50.04,58,54,21.32,FI,1685710758
36,punta arenas,-53.15,-70.9167,41.02,93,75,3.44,CL,1685710742
37,tolanaro,-25.0319,46.9987,78.87,57,20,21.85,MG,1685710764
38,al qusayr,34.5091,36.5798,90.07,22,98,3.4,SY,1685710765
39,minas de marcona,-15.2119,-75.1103,58.08,76,11,8.25,PE,1685710765
40,qaqortoq,60.7167,-46.0333,37.78,98,100,4.85,GL,1685710765
41,lebu,-37.6167,-73.65,52.57,89,13,6.87,CL,1685710765
42,westport,41.1415,-73.3579,78.84,68,0,1.01,US,1685710749
43,puerto ayora,-0.7393,-90.3518,76.55,93,98,5.93,EC,1685710766
44,kargasok,59.0556,80.8572,82.74,38,100,6.91,RU,1685710766
45,itoman,26.1247,127.6694,77.4,94,75,19.57,JP,1685710767
46,itamaraca,-7.7478,-34.8256,84.25,66,65,11.43,BR,1685710767
47,albany,42.6001,-73.9662,75.79,62,1,1.01,US,1685710767
48,west island,-12.1568,96.8225,82.38,78,75,20.71,CC,1685710767
49,yaren,-0.5472,166.916,84.79,74,14,13.11,NR,1685710767
50,dunda,-8.1167,34.25,86.14,28,10,2.62,TZ,1685710722
51,onguday,50.75,86.15,65.07,54,21,3.71,RU,1685710768
52,oltinko'l,40.8011,72.1634,92.35,13,72,4.52,UZ,1685710768
53,port lincoln,-34.7333,135.8667,62.49,58,12,10.47,AU,1685710768
54,gamba,-2.65,10.0,81.05,73,92,10.78,GA,1685710769
55,ilulissat,69.2167,-51.1,30.85,95,100,9.04,GL,1685710769
56,bangassou,4.7413,22.8184,94.55,35,99,2.86,CF,1685710769
57,vila velha,-20.3297,-40.2925,75.15,75,20,15.01,BR,1685710769
58,novyy urengoy,66.0833,76.6333,61.74,59,1,19.77,RU,1685710770
59,fortuna,40.5982,-124.1573,52.14,96,100,3.44,US,1685710770
60,margaret river,-33.95,115.0667,56.5,61,94,7.72,AU,1685710770
61,pagar alam,-4.0167,103.2667,72.16,98,97,1.19,ID,1685710770
62,ambodifotatra,-16.9833,49.85,78.03,67,20,7.96,MG,1685710771
63,nar'yan-mar,67.6713,53.087,58.57,56,95,9.64,RU,1685710771
64,la peca,-5.6111,-78.435,67.95,88,98,0.76,PE,1685710771
65,saipan,15.1355,145.701,83.1,100,40,14.97,MP,1685710771
66,suva,-18.1416,178.4415,74.68,94,75,4.61,FJ,1685710542
67,bambari,5.768,20.6757,92.48,37,100,7.56,CF,1685710772
68,tofol,5.3248,163.0078,83.55,77,100,10.0,FM,1685710772
69,fale old settlement,-9.3852,-171.2468,82.81,77,99,5.21,TK,1685710772
70,onchan,54.1733,-4.4532,56.52,62,20,8.05,IM,1685710772
71,longyearbyen,78.2186,15.6401,35.44,51,0,5.75,SJ,1685710773
72,misratah,32.3754,15.0925,75.85,60,4,12.33,LY,1685710773
73,laojunmiao,39.8333,97.7333,65.52,28,99,12.57,CN,1685710773
74,crucecita,-28.95,-58.9833,68.61,71,92,12.53,AR,1685710773
75,yellowknife,62.456,-114.3525,48.72,66,40,0.0,CA,1685710773
76,tidaholm,58.1804,13.9582,56.26,30,6,7.96,SE,1685710774
77,turkmenbasy,40.0222,52.9552,88.57,27,0,13.8,TM,1685710774
78,kalmunai,7.4167,81.8167,85.78,75,100,11.27,LK,1685710774
79,lompoc,34.6391,-120.4579,56.01,84,100,3.44,US,1685710743
80,kapuskasing,49.4169,-82.4331,57.29,58,75,3.44,CA,1685710731
81,totness,5.8833,-56.3167,81.95,74,0,5.5,SR,1685710774
82,kurchatov,51.6601,35.6521,81.01,56,78,12.48,RU,1685710658
83,kununurra,-15.7667,128.7333,67.98,73,12,9.22,AU,1685710545
84,farah,32.5,62.5,96.69,8,0,29.71,AF,1685710775
85,papao,-17.75,-149.55,69.48,69,26,8.1,PF,1685710775
86,ribeira brava,32.65,-17.0667,76.71,79,80,6.87,PT,1685710775
87,castillos,-34.1667,-53.8333,62.73,81,13,6.17,UY,1685710776
88,hawaiian paradise park,19.5933,-154.9731,70.03,98,100,3.44,US,1685710776
89,constantia,44.1833,28.65,83.08,55,7,13.76,RO,1685710776
90,ravar,31.2656,56.8055,97.2,11,0,15.19,IR,1685710776
91,kermanshah,34.3142,47.065,85.1,10,75,21.85,IR,1685710776
92,cheremushki,52.8356,91.3944,65.55,53,6,2.71,RU,1685710733
93,papatowai,-46.5619,169.4708,47.62,81,100,18.79,NZ,1685710777
94,dunedin,-45.8742,170.5036,46.8,70,100,8.01,NZ,1685710777
95,nguigmi,14.2495,13.1092,98.67,33,100,11.41,NE,1685710777
96,demidov,55.2706,31.515,48.45,86,100,11.86,RU,1685710777
97,anadyr,64.75,177.4833,34.3,59,0,4.47,RU,1685710777
98,san agustin de valle fertil,-30.6335,-67.4682,61.09,58,0,3.65,AR,1685710778
99,quepos,9.4236,-84.1652,79.97,79,100,1.36,CR,1685710778
100,edinburgh of the seven seas,-37.0676,-12.3116,55.45,60,97,12.62,SH,1685710778
101,talnakh,69.4865,88.3972,48.67,97,100,13.4,RU,1685710779
102,badger,64.8,-147.5333,40.51,92,100,10.36,US,1685710779
103,sosnogorsk,63.6023,53.8817,68.09,41,26,6.8,RU,1685710779
104,kailua-kona,19.6406,-155.9956,76.96,86,20,3.0,US,1685710623
105,katsuura,35.1333,140.3,74.05,92,100,34.52,JP,1685710779
106,avarua,-21.2078,-159.775,62.65,100,99,1.14,CK,1685710779
107,college,64.8569,-147.8028,40.59,92,100,10.36,US,1685710714
108,port elizabeth,-33.918,25.5701,74.1,46,0,13.8,ZA,1685710780
109,manoharpur,27.3,75.95,93.7,30,69,14.05,IN,1685710780
110,lorengau,-2.0226,147.2712,78.26,89,100,7.34,PG,1685710780
